Job Title,Company Name,Location,Experience,Salary
Software Tester,Innova Labs,Hyderabad,0-1 years,₹8-12 LPA
Full Stack Developer,DataSoft,Chennai,2-4 years,₹8-12 LPA
DevOps Engineer,NextGen AI,Bangalore,2-4 years,₹5-8 LPA
DevOps Engineer,Visionary Apps,Chennai,0-1 years,₹15-20 LPA
DevOps Engineer,CodeCrafters,Chennai,3-5 years,₹10-15 LPA
DevOps Engineer,TechCorp,Bangalore,2-4 years,₹10-15 LPA
AI Engineer,Bright Future Pvt Ltd,Delhi,3-5 years,₹8-12 LPA
UI/UX Designer,NeuralNet Systems,Chennai,7-10 years,₹3-5 LPA
Machine Learning Engineer,DataSoft,Hyderabad,4-6 years,₹10-15 LPA
Data Analyst,DataSoft,Pune,5-7 years,₹20-30 LPA
Data Analyst,CodeCrafters,Hyderabad,2-4 years,₹5-8 LPA
Data Scientist,NextGen AI,Remote,0-1 years,₹3-5 LPA
DevOps Engineer,CodeCrafters,Bangalore,0-1 years,₹6-10 LPA
Data Scientist,CodeCrafters,Hyderabad,7-10 years,₹10-15 LPA
DevOps Engineer,Innova Labs,Bangalore,5-7 years,₹20-30 LPA
UI/UX Designer,TechVerse,Hyderabad,3-5 years,₹10-15 LPA
Machine Learning Engineer,CloudWorks,Pune,4-6 years,₹4-6 LPA
Frontend Developer,Reactify,Pune,1-2 years,₹3-5 LPA
Software Tester,Bright Future Pvt Ltd,Delhi,4-6 years,₹5-8 LPA
Python Developer,CodeCrafters,Mumbai,5-7 years,₹20-30 LPA
DevOps Engineer,CloudWorks,Pune,4-6 years,₹20-30 LPA
Project Manager,NextGen AI,Bangalore,7-10 years,₹8-12 LPA
React Developer,NeuralNet Systems,Bangalore,5-7 years,₹3-5 LPA
Full Stack Developer,CodeCrafters,Delhi,4-6 years,₹10-15 LPA
Project Manager,TechCorp,Hyderabad,3-5 years,₹20-30 LPA
Project Manager,Web Solutions,Chennai,2-4 years,₹10-15 LPA
Business Analyst,AlgoGenie,Delhi,3-5 years,₹8-12 LPA
Python Developer,NextGen AI,Chennai,4-6 years,₹3-5 LPA
Business Analyst,AlgoGenie,Delhi,7-10 years,₹8-12 LPA
Software Tester,NextGen AI,Pune,3-5 years,₹8-12 LPA
React Developer,ABC Tech,Chennai,5-7 years,₹6-10 LPA
React Developer,NextGen AI,Remote,5-7 years,₹4-6 LPA
UI/UX Designer,XYZ Analytics,Chennai,4-6 years,₹4-6 LPA
Data Analyst,Bright Future Pvt Ltd,Pune,4-6 years,₹4-6 LPA
Backend Engineer,Bright Future Pvt Ltd,Bangalore,7-10 years,₹6-10 LPA
Cloud Architect,Reactify,Remote,1-2 years,₹10-15 LPA
Project Manager,ABC Tech,Delhi,4-6 years,₹15-20 LPA
React Developer,ABC Tech,Pune,1-2 years,₹10-15 LPA
Full Stack Developer,Web Solutions,Chennai,3-5 years,₹6-10 LPA
Machine Learning Engineer,Reactify,Pune,7-10 years,₹3-5 LPA
Backend Engineer,TechCorp,Hyderabad,5-7 years,₹15-20 LPA
Backend Engineer,Innova Labs,Pune,5-7 years,₹8-12 LPA
UI/UX Designer,AlgoGenie,Remote,5-7 years,₹4-6 LPA
Machine Learning Engineer,AlgoGenie,Mumbai,1-2 years,₹3-5 LPA
Machine Learning Engineer,DataSoft,Chennai,5-7 years,₹10-15 LPA
Python Developer,Visionary Apps,Mumbai,1-2 years,₹4-6 LPA
Business Analyst,NextGen AI,Chennai,0-1 years,₹20-30 LPA
Java Developer,Web Solutions,Mumbai,1-2 years,₹5-8 LPA
UI/UX Designer,AlgoGenie,Pune,0-1 years,₹6-10 LPA
Data Scientist,TechVerse,Chennai,5-7 years,₹4-6 LPA
Java Developer,Visionary Apps,Chennai,4-6 years,₹15-20 LPA
AI Engineer,Reactify,Bangalore,3-5 years,₹20-30 LPA
Cloud Architect,NextGen AI,Mumbai,2-4 years,₹6-10 LPA
UI/UX Designer,AlgoGenie,Delhi,7-10 years,₹20-30 LPA
Machine Learning Engineer,NeuralNet Systems,Hyderabad,0-1 years,₹10-15 LPA
Data Analyst,Visionary Apps,Bangalore,0-1 years,₹3-5 LPA
UI/UX Designer,NextGen AI,Remote,1-2 years,₹3-5 LPA
AI Engineer,TechCorp,Hyderabad,5-7 years,₹5-8 LPA
Data Analyst,NextGen AI,Chennai,1-2 years,₹20-30 LPA
Data Analyst,XYZ Analytics,Pune,0-1 years,₹5-8 LPA
Python Developer,ABC Tech,Mumbai,2-4 years,₹5-8 LPA
Machine Learning Engineer,CodeCrafters,Pune,1-2 years,₹3-5 LPA
Cloud Architect,Bright Future Pvt Ltd,Chennai,4-6 years,₹4-6 LPA
Java Developer,NextGen AI,Pune,3-5 years,₹5-8 LPA
Python Developer,Web Solutions,Mumbai,2-4 years,₹15-20 LPA
Java Developer,CloudWorks,Bangalore,3-5 years,₹8-12 LPA
UI/UX Designer,Web Solutions,Pune,4-6 years,₹3-5 LPA
Backend Engineer,CloudWorks,Bangalore,4-6 years,₹15-20 LPA
Data Scientist,Visionary Apps,Hyderabad,4-6 years,₹20-30 LPA
UI/UX Designer,ABC Tech,Pune,7-10 years,₹15-20 LPA
Business Analyst,XYZ Analytics,Pune,1-2 years,₹6-10 LPA
Backend Engineer,Visionary Apps,Mumbai,3-5 years,₹6-10 LPA
Machine Learning Engineer,XYZ Analytics,Chennai,2-4 years,₹6-10 LPA
Java Developer,Bright Future Pvt Ltd,Pune,4-6 years,₹6-10 LPA
UI/UX Designer,Innova Labs,Remote,2-4 years,₹20-30 LPA
Project Manager,CloudWorks,Delhi,1-2 years,₹15-20 LPA
UI/UX Designer,XYZ Analytics,Pune,2-4 years,₹3-5 LPA
Project Manager,Reactify,Bangalore,3-5 years,₹15-20 LPA
Project Manager,NeuralNet Systems,Delhi,1-2 years,₹6-10 LPA
Business Analyst,Innova Labs,Delhi,3-5 years,₹6-10 LPA
UI/UX Designer,TechVerse,Chennai,4-6 years,₹10-15 LPA
Frontend Developer,XYZ Analytics,Remote,4-6 years,₹6-10 LPA
DevOps Engineer,XYZ Analytics,Remote,2-4 years,₹3-5 LPA
Full Stack Developer,Innova Labs,Mumbai,5-7 years,₹8-12 LPA
Cloud Architect,XYZ Analytics,Mumbai,7-10 years,₹10-15 LPA
Machine Learning Engineer,TechVerse,Chennai,3-5 years,₹8-12 LPA
Project Manager,TechCorp,Delhi,2-4 years,₹20-30 LPA
Data Scientist,ABC Tech,Delhi,2-4 years,₹8-12 LPA
Data Scientist,NextGen AI,Delhi,7-10 years,₹20-30 LPA
Software Tester,Innova Labs,Delhi,0-1 years,₹4-6 LPA
Python Developer,TechCorp,Chennai,5-7 years,₹8-12 LPA
React Developer,TechVerse,Delhi,7-10 years,₹5-8 LPA
Business Analyst,Bright Future Pvt Ltd,Bangalore,1-2 years,₹6-10 LPA
DevOps Engineer,TechCorp,Chennai,4-6 years,₹4-6 LPA
Machine Learning Engineer,NeuralNet Systems,Remote,5-7 years,₹4-6 LPA
Full Stack Developer,NeuralNet Systems,Bangalore,5-7 years,₹20-30 LPA
Business Analyst,Web Solutions,Pune,1-2 years,₹8-12 LPA
Python Developer,Reactify,Pune,1-2 years,₹5-8 LPA
Machine Learning Engineer,AlgoGenie,Hyderabad,7-10 years,₹5-8 LPA
DevOps Engineer,Visionary Apps,Bangalore,3-5 years,₹5-8 LPA
Business Analyst,CloudWorks,Delhi,2-4 years,₹8-12 LPA
DevOps Engineer,AlgoGenie,Bangalore,2-4 years,₹10-15 LPA
Full Stack Developer,CloudWorks,Hyderabad,3-5 years,₹8-12 LPA
Data Analyst,XYZ Analytics,Remote,5-7 years,₹6-10 LPA
DevOps Engineer,NeuralNet Systems,Bangalore,5-7 years,₹20-30 LPA
React Developer,Bright Future Pvt Ltd,Pune,0-1 years,₹3-5 LPA
UI/UX Designer,CloudWorks,Delhi,0-1 years,₹4-6 LPA
DevOps Engineer,ABC Tech,Delhi,1-2 years,₹6-10 LPA
Full Stack Developer,Visionary Apps,Delhi,5-7 years,₹4-6 LPA
Full Stack Developer,Visionary Apps,Remote,5-7 years,₹20-30 LPA
Data Analyst,Web Solutions,Bangalore,1-2 years,₹15-20 LPA
Frontend Developer,Innova Labs,Hyderabad,0-1 years,₹3-5 LPA
Machine Learning Engineer,Bright Future Pvt Ltd,Bangalore,7-10 years,₹4-6 LPA
Cloud Architect,TechVerse,Bangalore,0-1 years,₹6-10 LPA
React Developer,ABC Tech,Hyderabad,4-6 years,₹6-10 LPA
React Developer,NeuralNet Systems,Hyderabad,2-4 years,₹4-6 LPA
Java Developer,Web Solutions,Bangalore,2-4 years,₹4-6 LPA
Frontend Developer,NextGen AI,Delhi,2-4 years,₹10-15 LPA
Java Developer,Bright Future Pvt Ltd,Mumbai,4-6 years,₹4-6 LPA
Backend Engineer,TechCorp,Mumbai,2-4 years,₹5-8 LPA
Project Manager,TechCorp,Hyderabad,0-1 years,₹10-15 LPA
Data Scientist,Visionary Apps,Delhi,4-6 years,₹6-10 LPA
Project Manager,Web Solutions,Delhi,3-5 years,₹10-15 LPA
Java Developer,TechCorp,Mumbai,1-2 years,₹5-8 LPA
Project Manager,ABC Tech,Remote,7-10 years,₹5-8 LPA
Frontend Developer,Innova Labs,Delhi,4-6 years,₹6-10 LPA
React Developer,CodeCrafters,Hyderabad,5-7 years,₹8-12 LPA
Full Stack Developer,NextGen AI,Pune,4-6 years,₹10-15 LPA
Data Analyst,CloudWorks,Delhi,4-6 years,₹5-8 LPA
Software Tester,AlgoGenie,Mumbai,4-6 years,₹20-30 LPA
AI Engineer,ABC Tech,Pune,0-1 years,₹8-12 LPA
Data Scientist,XYZ Analytics,Bangalore,0-1 years,₹6-10 LPA
React Developer,Reactify,Mumbai,2-4 years,₹6-10 LPA
Software Tester,XYZ Analytics,Chennai,1-2 years,₹6-10 LPA
Cloud Architect,Web Solutions,Bangalore,7-10 years,₹6-10 LPA
Python Developer,ABC Tech,Chennai,4-6 years,₹3-5 LPA
Project Manager,Web Solutions,Delhi,0-1 years,₹20-30 LPA
Data Scientist,AlgoGenie,Pune,4-6 years,₹15-20 LPA
Python Developer,AlgoGenie,Chennai,4-6 years,₹20-30 LPA
Cloud Architect,TechCorp,Hyderabad,3-5 years,₹3-5 LPA
Data Scientist,CodeCrafters,Pune,5-7 years,₹6-10 LPA
Java Developer,AlgoGenie,Pune,4-6 years,₹15-20 LPA
UI/UX Designer,ABC Tech,Chennai,7-10 years,₹6-10 LPA
Software Tester,NeuralNet Systems,Chennai,5-7 years,₹10-15 LPA
Backend Engineer,XYZ Analytics,Hyderabad,4-6 years,₹4-6 LPA
DevOps Engineer,Innova Labs,Bangalore,2-4 years,₹8-12 LPA
Software Tester,CloudWorks,Pune,4-6 years,₹10-15 LPA
DevOps Engineer,CodeCrafters,Remote,3-5 years,₹6-10 LPA
UI/UX Designer,Visionary Apps,Remote,4-6 years,₹6-10 LPA
Frontend Developer,AlgoGenie,Delhi,5-7 years,₹10-15 LPA
Python Developer,Innova Labs,Hyderabad,0-1 years,₹8-12 LPA
Project Manager,TechCorp,Mumbai,5-7 years,₹20-30 LPA
UI/UX Designer,CodeCrafters,Remote,1-2 years,₹20-30 LPA
Project Manager,ABC Tech,Delhi,7-10 years,₹8-12 LPA
Python Developer,TechVerse,Chennai,4-6 years,₹15-20 LPA
Java Developer,Web Solutions,Chennai,5-7 years,₹4-6 LPA
Project Manager,Reactify,Remote,7-10 years,₹6-10 LPA
Python Developer,ABC Tech,Pune,3-5 years,₹20-30 LPA
Java Developer,Bright Future Pvt Ltd,Bangalore,1-2 years,₹3-5 LPA
Data Analyst,NeuralNet Systems,Remote,5-7 years,₹20-30 LPA
Business Analyst,NextGen AI,Chennai,5-7 years,₹4-6 LPA
AI Engineer,NeuralNet Systems,Mumbai,3-5 years,₹3-5 LPA
Business Analyst,DataSoft,Mumbai,0-1 years,₹4-6 LPA
React Developer,Reactify,Bangalore,1-2 years,₹6-10 LPA
Data Analyst,Visionary Apps,Hyderabad,5-7 years,₹20-30 LPA
DevOps Engineer,Visionary Apps,Delhi,3-5 years,₹6-10 LPA
AI Engineer,Innova Labs,Mumbai,2-4 years,₹6-10 LPA
AI Engineer,Visionary Apps,Delhi,7-10 years,₹6-10 LPA
Backend Engineer,TechCorp,Remote,0-1 years,₹4-6 LPA
Data Analyst,CloudWorks,Bangalore,0-1 years,₹10-15 LPA
Data Scientist,DataSoft,Mumbai,3-5 years,₹3-5 LPA
Project Manager,Innova Labs,Delhi,0-1 years,₹20-30 LPA
Data Scientist,ABC Tech,Mumbai,7-10 years,₹10-15 LPA
Backend Engineer,Visionary Apps,Bangalore,0-1 years,₹4-6 LPA
Data Scientist,Bright Future Pvt Ltd,Bangalore,0-1 years,₹3-5 LPA
Frontend Developer,TechVerse,Bangalore,4-6 years,₹8-12 LPA
Java Developer,Visionary Apps,Chennai,7-10 years,₹8-12 LPA
Data Analyst,Bright Future Pvt Ltd,Chennai,1-2 years,₹8-12 LPA
Full Stack Developer,Innova Labs,Hyderabad,4-6 years,₹15-20 LPA
Backend Engineer,CloudWorks,Hyderabad,2-4 years,₹15-20 LPA
Data Scientist,ABC Tech,Pune,5-7 years,₹3-5 LPA
AI Engineer,DataSoft,Pune,5-7 years,₹6-10 LPA
Full Stack Developer,CodeCrafters,Mumbai,1-2 years,₹20-30 LPA
Full Stack Developer,AlgoGenie,Mumbai,3-5 years,₹4-6 LPA
Project Manager,Web Solutions,Mumbai,0-1 years,₹15-20 LPA
Java Developer,Reactify,Delhi,1-2 years,₹8-12 LPA
UI/UX Designer,CloudWorks,Bangalore,3-5 years,₹15-20 LPA
Data Scientist,Web Solutions,Remote,1-2 years,₹3-5 LPA
Backend Engineer,Web Solutions,Remote,1-2 years,₹4-6 LPA
Full Stack Developer,Innova Labs,Delhi,4-6 years,₹20-30 LPA
Python Developer,NextGen AI,Delhi,4-6 years,₹8-12 LPA
UI/UX Designer,CloudWorks,Chennai,4-6 years,₹10-15 LPA
Cloud Architect,CloudWorks,Delhi,4-6 years,₹15-20 LPA
Machine Learning Engineer,Innova Labs,Pune,5-7 years,₹5-8 LPA
Full Stack Developer,Bright Future Pvt Ltd,Delhi,1-2 years,₹15-20 LPA
UI/UX Designer,Web Solutions,Hyderabad,0-1 years,₹4-6 LPA
Data Analyst,AlgoGenie,Mumbai,5-7 years,₹4-6 LPA
Data Analyst,Innova Labs,Hyderabad,3-5 years,₹6-10 LPA
React Developer,Bright Future Pvt Ltd,Delhi,4-6 years,₹4-6 LPA
Java Developer,Bright Future Pvt Ltd,Chennai,0-1 years,₹8-12 LPA
Software Tester,Reactify,Chennai,1-2 years,₹20-30 LPA
Data Analyst,AlgoGenie,Delhi,3-5 years,₹5-8 LPA
Java Developer,Bright Future Pvt Ltd,Mumbai,2-4 years,₹4-6 LPA
Java Developer,Visionary Apps,Mumbai,4-6 years,₹4-6 LPA
Software Tester,TechVerse,Pune,7-10 years,₹6-10 LPA
Frontend Developer,XYZ Analytics,Bangalore,3-5 years,₹5-8 LPA
Python Developer,ABC Tech,Chennai,3-5 years,₹5-8 LPA
DevOps Engineer,Innova Labs,Chennai,2-4 years,₹4-6 LPA
Data Scientist,Bright Future Pvt Ltd,Hyderabad,1-2 years,₹5-8 LPA
Backend Engineer,Visionary Apps,Hyderabad,2-4 years,₹5-8 LPA
Data Analyst,NeuralNet Systems,Delhi,3-5 years,₹4-6 LPA
Backend Engineer,Innova Labs,Remote,0-1 years,₹4-6 LPA
Full Stack Developer,NeuralNet Systems,Pune,2-4 years,₹10-15 LPA
Frontend Developer,NeuralNet Systems,Mumbai,0-1 years,₹20-30 LPA
Python Developer,Web Solutions,Delhi,2-4 years,₹8-12 LPA
Business Analyst,NextGen AI,Remote,2-4 years,₹15-20 LPA
Backend Engineer,CloudWorks,Bangalore,5-7 years,₹5-8 LPA
AI Engineer,Visionary Apps,Pune,1-2 years,₹15-20 LPA
Data Scientist,CloudWorks,Mumbai,3-5 years,₹8-12 LPA
Python Developer,TechCorp,Delhi,0-1 years,₹4-6 LPA
Frontend Developer,CodeCrafters,Mumbai,5-7 years,₹15-20 LPA
Software Tester,XYZ Analytics,Pune,4-6 years,₹6-10 LPA
Data Analyst,Reactify,Hyderabad,4-6 years,₹5-8 LPA
Machine Learning Engineer,Reactify,Mumbai,5-7 years,₹10-15 LPA
Business Analyst,Innova Labs,Pune,3-5 years,₹3-5 LPA
Backend Engineer,Bright Future Pvt Ltd,Mumbai,7-10 years,₹3-5 LPA
Frontend Developer,NextGen AI,Delhi,4-6 years,₹15-20 LPA
Cloud Architect,XYZ Analytics,Mumbai,3-5 years,₹20-30 LPA
UI/UX Designer,TechCorp,Delhi,7-10 years,₹8-12 LPA
DevOps Engineer,XYZ Analytics,Mumbai,4-6 years,₹8-12 LPA
Data Analyst,Web Solutions,Chennai,7-10 years,₹3-5 LPA
React Developer,Visionary Apps,Delhi,7-10 years,₹8-12 LPA
Full Stack Developer,TechCorp,Delhi,5-7 years,₹10-15 LPA
UI/UX Designer,Bright Future Pvt Ltd,Remote,2-4 years,₹6-10 LPA
UI/UX Designer,NextGen AI,Chennai,4-6 years,₹15-20 LPA
Machine Learning Engineer,TechVerse,Chennai,5-7 years,₹6-10 LPA
DevOps Engineer,XYZ Analytics,Delhi,4-6 years,₹5-8 LPA
AI Engineer,Innova Labs,Mumbai,7-10 years,₹15-20 LPA
Python Developer,Web Solutions,Hyderabad,5-7 years,₹6-10 LPA
Machine Learning Engineer,DataSoft,Remote,2-4 years,₹5-8 LPA
Software Tester,TechVerse,Mumbai,2-4 years,₹8-12 LPA
Project Manager,NeuralNet Systems,Remote,3-5 years,₹3-5 LPA
Data Analyst,TechVerse,Pune,5-7 years,₹3-5 LPA
AI Engineer,TechCorp,Bangalore,7-10 years,₹4-6 LPA
React Developer,Reactify,Remote,2-4 years,₹3-5 LPA
Data Scientist,AlgoGenie,Bangalore,4-6 years,₹10-15 LPA
